tailpipe_co2_in_grams_mile_ft1,engine_displacement,engine_cylinders,turbocharger,fuel_type,class,transmission,drive
522.7647059,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 3-Speed,2-Wheel Drive
522.7647059,2.5,4.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 3-Speed,2-Wheel Drive
683.6153846,4.2,6.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 3-Speed,2-Wheel Drive
683.6153846,4.2,6.0,No,Regular,Special Purpose Vehicle 2WD,Automatic 3-Speed,2-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
444.35,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
444.35,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
493.7222222,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Automatic 3-Speed,4-Wheel or All-Wheel Drive
444.35,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
444.35,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
522.7647059,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 4-Speed,4-Wheel or All-Wheel Drive
423.1904762,2.5,4.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
493.7222222,4.2,6.0,No,Regular,Special Purpose Vehicle 4WD,Manual 5-Speed,4-Wheel or All-Wheel Drive
555.4375,4.1,6.0,No,Regular,Large Cars,Automatic 4-Speed,2-Wheel Drive
555.4375,5.0,8.0,No,Regular,Large Cars,Automatic 4-Speed,2-Wheel Drive
484.7619048,5.7,8.0,No,Diesel,Large Cars,Automatic 4-Speed,2-Wheel Drive
555.4375,4.1,8.0,No,Regular,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
484.7619048,5.7,8.0,No,Diesel,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
555.4375,4.1,8.0,No,Regular,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
424.1666667,4.3,6.0,No,Diesel,Large Cars,Automatic 4-Speed,Rear-Wheel Drive
592.4666667,4.1,6.0,No,Regular,Standard Pickup Trucks 2WD,Automatic 3-Speed,2-Wheel Drive
